timestamp,node_serial_number,session_id,sample_period,min_log_sequence,max_log_sequence,battery_level,battery_state,temperature_setpoint,control_temperature,control_device_type,control_device_serial,app_mode,control_device_connected,lid_open,fixed_speed,fan_state,fan_duty_cycle,fan_commanded_speed,fan_measured_speed,fan_off_time,fan_on_time,hop_count
2026-01-26T17:17:35.299624,ENGDEV0009,3980105984,5000,162,162,OK,NOT_CHARGING,135.0,61.9,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,81,89,36,907,4093,1
2026-01-26T17:17:40.782365,ENGDEV0009,3980105984,5000,163,163,OK,NOT_CHARGING,135.0,62.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,81,89,33,943,4057,1
2026-01-26T17:17:46.077828,ENGDEV0009,3980105984,5000,164,164,OK,NOT_CHARGING,135.0,63.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,80,89,34,985,4015,1
2026-01-26T17:17:54.641500,ENGDEV0009,3980105984,5000,165,165,OK,NOT_CHARGING,135.0,64.1,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,79,88,32,1027,3973,1
2026-01-26T17:17:55.677084,ENGDEV0009,3980105984,5000,166,166,OK,NOT_CHARGING,135.0,64.8,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,78,88,33,1057,3943,1
2026-01-26T17:18:00.938387,ENGDEV0009,3980105984,5000,167,167,OK,NOT_CHARGING,135.0,65.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,78,87,32,1100,3900,1
2026-01-26T17:18:08.502051,ENGDEV0009,3980105984,5000,168,168,OK,NOT_CHARGING,135.0,66.1,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,77,87,33,1130,3870,1
2026-01-26T17:18:11.462334,ENGDEV0009,3980105984,5000,169,169,OK,NOT_CHARGING,135.0,66.8,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,76,87,30,1160,3840,1
2026-01-26T17:18:15.449537,ENGDEV0009,3980105984,5000,170,170,OK,NOT_CHARGING,135.0,67.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,76,86,32,1197,3803,1
2026-01-26T17:18:20.728111,ENGDEV0009,3980105984,5000,171,171,OK,NOT_CHARGING,135.0,68.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,75,86,32,1246,3754,1
2026-01-26T17:18:26.637936,ENGDEV0009,3980105984,5000,172,172,OK,NOT_CHARGING,135.0,69.3,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,74,85,32,1295,3705,1
2026-01-26T17:18:30.926986,ENGDEV0009,3980105984,5000,173,173,OK,NOT_CHARGING,135.0,69.3,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,74,85,28,1288,3712,1
2026-01-26T17:18:35.877624,ENGDEV0009,3980105984,5000,174,174,OK,NOT_CHARGING,135.0,66.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,77,87,32,1102,3898,1
2026-01-26T17:18:42.475924,ENGDEV0009,3980105984,5000,175,175,OK,NOT_CHARGING,135.0,65.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,79,88,32,1041,3959,1
2026-01-26T17:18:45.477656,ENGDEV0009,3980105984,5000,176,176,OK,NOT_CHARGING,135.0,65.8,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,78,88,30,1069,3931,1
2026-01-26T17:18:50.397253,ENGDEV0009,3980105984,5000,177,177,OK,NOT_CHARGING,135.0,66.8,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,77,87,33,1132,3868,1
2026-01-26T17:18:59.360349,ENGDEV0009,3980105984,5000,178,178,OK,NOT_CHARGING,135.0,68.3,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,75,86,29,1224,3776,1
2026-01-26T17:19:00.626786,ENGDEV0009,3980105984,5000,179,179,OK,NOT_CHARGING,135.0,69.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,73,85,0,1301,3699,1
2026-01-26T17:19:05.907293,ENGDEV0009,3980105984,5000,180,180,OK,NOT_CHARGING,135.0,70.9,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,72,84,0,1376,3624,1
2026-01-26T17:19:10.868992,ENGDEV0009,3980105984,5000,181,181,OK,NOT_CHARGING,135.0,72.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,71,84,0,1437,3563,1
2026-01-26T17:19:15.476127,ENGDEV0009,3980105984,5000,182,182,OK,NOT_CHARGING,135.0,73.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,70,83,0,1492,3508,1
2026-01-26T17:19:20.425388,ENGDEV0009,3980105984,5000,183,183,OK,NOT_CHARGING,135.0,74.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,68,82,0,1552,3448,1
2026-01-26T17:19:25.715086,ENGDEV0009,3980105984,5000,184,184,OK,NOT_CHARGING,135.0,75.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,68,82,0,1600,3400,1
2026-01-26T17:19:30.656826,ENGDEV0009,3980105984,5000,185,185,OK,NOT_CHARGING,135.0,76.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,66,81,0,1653,3347,1
2026-01-26T17:19:35.935061,ENGDEV0009,3980105984,5000,186,186,OK,NOT_CHARGING,135.0,76.6,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,66,81,0,1688,3312,1
2026-01-26T17:19:40.595229,ENGDEV0009,3980105984,5000,187,187,OK,NOT_CHARGING,135.0,77.6,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,65,80,0,1742,3258,1
2026-01-26T17:19:45.505979,ENGDEV0009,3980105984,5000,188,188,OK,NOT_CHARGING,135.0,78.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,64,80,93,1789,3211,1
2026-01-26T17:19:50.461208,ENGDEV0009,3980105984,5000,189,189,OK,NOT_CHARGING,135.0,79.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,63,79,93,1830,3170,1
